	sample_ts	camFront_ts	radarFront_ts	sample_time	camFront_time	radarFront_time
0	1532402927647951	1532402927612460	1532402927664178	2018-07-24 03:28:47.647951	2018-07-24 03:28:47.612460	2018-07-24 03:28:47.664178
1	1532402928147847	1532402928112460	1532402928114656	2018-07-24 03:28:48.147847	2018-07-24 03:28:48.112460	2018-07-24 03:28:48.114656
2	1532402928698048	1532402928662460	1532402928719956	2018-07-24 03:28:48.698048	2018-07-24 03:28:48.662460	2018-07-24 03:28:48.719956
3	1532402929197353	1532402929162460	1532402929175111	2018-07-24 03:28:49.197353	2018-07-24 03:28:49.162460	2018-07-24 03:28:49.175111
4	1532402929697797	1532402929662460	1532402929699442	2018-07-24 03:28:49.697797	2018-07-24 03:28:49.662460	2018-07-24 03:28:49.699442
5	1532402930152601	1532402930112460	1532402930155470	2018-07-24 03:28:50.152601	2018-07-24 03:28:50.112460	2018-07-24 03:28:50.155470
6	1532402930648325	1532402930612460	1532402930680594	2018-07-24 03:28:50.648325	2018-07-24 03:28:50.612460	2018-07-24 03:28:50.680594
7	1532402931198511	1532402931162460	1532402931210794	2018-07-24 03:28:51.198511	2018-07-24 03:28:51.162460	2018-07-24 03:28:51.210794
8	1532402931697833	1532402931662460	1532402931660959	2018-07-24 03:28:51.697833	2018-07-24 03:28:51.662460	2018-07-24 03:28:51.660959
9	1532402932197715	1532402932162460	1532402932190673	2018-07-24 03:28:52.197715	2018-07-24 03:28:52.162460	2018-07-24 03:28:52.190673
10	1532402932647284	1532402932612460	1532402932641364	2018-07-24 03:28:52.647284	2018-07-24 03:28:52.612460	2018-07-24 03:28:52.641364
11	1532402933146604	1532402933112460	1532402933171442	2018-07-24 03:28:53.146604	2018-07-24 03:28:53.112460	2018-07-24 03:28:53.171442
12	1532402933646462	1532402933612460	1532402933626683	2018-07-24 03:28:53.646462	2018-07-24 03:28:53.612460	2018-07-24 03:28:53.626683
13	1532402934146351	1532402934112460	1532402934150966	2018-07-24 03:28:54.146351	2018-07-24 03:28:54.112460	2018-07-24 03:28:54.150966
14	1532402934696555	1532402934662484	1532402934681921	2018-07-24 03:28:54.696555	2018-07-24 03:28:54.662484	2018-07-24 03:28:54.681921
15	1532402935197541	1532402935162463	1532402935212100	2018-07-24 03:28:55.197541	2018-07-24 03:28:55.162463	2018-07-24 03:28:55.212100
16	1532402935697945	1532402935662460	1532402935662251	2018-07-24 03:28:55.697945	2018-07-24 03:28:55.662460	2018-07-24 03:28:55.662251
17	1532402936198962	1532402936162460	1532402936187420	2018-07-24 03:28:56.198962	2018-07-24 03:28:56.162460	2018-07-24 03:28:56.187420
18	1532402936699359	1532402936662460	1532402936722558	2018-07-24 03:28:56.699359	2018-07-24 03:28:56.662460	2018-07-24 03:28:56.722558
19	1532402937198682	1532402937162460	1532402937172732	2018-07-24 03:28:57.198682	2018-07-24 03:28:57.162460	2018-07-24 03:28:57.172732
20	1532402937698000	1532402937662460	1532402937702954	2018-07-24 03:28:57.698000	2018-07-24 03:28:57.662460	2018-07-24 03:28:57.702954
21	1532402938197897	1532402938162460	1532402938232270	2018-07-24 03:28:58.197897	2018-07-24 03:28:58.162460	2018-07-24 03:28:58.232270
22	1532402938647444	1532402938612460	1532402938613249	2018-07-24 03:28:58.647444	2018-07-24 03:28:58.612460	2018-07-24 03:28:58.613249
23	1532402939147334	1532402939112460	1532402939143398	2018-07-24 03:28:59.147334	2018-07-24 03:28:59.112460	2018-07-24 03:28:59.143398
24	1532402939697511	1532402939662460	1532402939668568	2018-07-24 03:28:59.697511	2018-07-24 03:28:59.662460	2018-07-24 03:28:59.668568
25	1532402940197958	1532402940162460	1532402940198168	2018-07-24 03:29:00.197958	2018-07-24 03:29:00.162460	2018-07-24 03:29:00.198168
26	1532402940797343	1532402940762460	1532402940803951	2018-07-24 03:29:00.797343	2018-07-24 03:29:00.762460	2018-07-24 03:29:00.803951
27	1532402941297218	1532402941262460	1532402941329196	2018-07-24 03:29:01.297218	2018-07-24 03:29:01.262460	2018-07-24 03:29:01.329196
28	1532402941797653	1532402941762460	1532402941784290	2018-07-24 03:29:01.797653	2018-07-24 03:29:01.762460	2018-07-24 03:29:01.784290
29	1532402942197463	1532402942162460	1532402942234409	2018-07-24 03:29:02.197463	2018-07-24 03:29:02.162460	2018-07-24 03:29:02.234409
30	1532402942697870	1532402942662460	1532402942689662	2018-07-24 03:29:02.697870	2018-07-24 03:29:02.662460	2018-07-24 03:29:02.689662
31	1532402943197769	1532402943162460	1532402943214745	2018-07-24 03:29:03.197769	2018-07-24 03:29:03.162460	2018-07-24 03:29:03.214745
32	1532402943697655	1532402943662460	1532402943669939	2018-07-24 03:29:03.697655	2018-07-24 03:29:03.662460	2018-07-24 03:29:03.669939
33	1532402944198088	1532402944162460	1532402944199522	2018-07-24 03:29:04.198088	2018-07-24 03:29:04.162460	2018-07-24 03:29:04.199522
34	1532402944697931	1532402944662460	1532402944725265	2018-07-24 03:29:04.697931	2018-07-24 03:29:04.662460	2018-07-24 03:29:04.725265
35	1532402945197276	1532402945162460	1532402945180429	2018-07-24 03:29:05.197276	2018-07-24 03:29:05.162460	2018-07-24 03:29:05.180429
36	1532402945697148	1532402945662460	1532402945710560	2018-07-24 03:29:05.697148	2018-07-24 03:29:05.662460	2018-07-24 03:29:05.710560
37	1532402946297085	1532402946262460	1532402946309929	2018-07-24 03:29:06.297085	2018-07-24 03:29:06.262460	2018-07-24 03:29:06.309929
